Id,Label,timeset,modularity_class
0,0,,2
1,1,,0
2,2,,0
3,3,,2
4,4,,0
5,5,,0
6,6,,1
7,7,,0
8,8,,0
9,9,,1
10,10,,0
11,11,,0
12,12,,0
13,13,,0
14,14,,0
15,15,,1
16,16,,4
17,17,,1
18,18,,0
19,19,,2
20,20,,0
21,21,,0
22,22,,2
23,23,,1
24,24,,0
25,25,,0
26,26,,1
27,27,,0
28,28,,4
29,29,,0
30,30,,0
31,31,,0
32,32,,2
33,33,,0
34,34,,2
35,35,,1
36,36,,0
37,37,,0
38,38,,0
39,39,,0
40,40,,0
41,41,,0
42,42,,0
43,43,,0
44,44,,0
45,45,,1
46,46,,0
47,47,,0
48,48,,2
49,49,,0
50,50,,2
51,51,,0
52,52,,2
53,53,,1
54,54,,4
55,55,,4
56,56,,2
57,57,,0
58,58,,1
59,59,,2
60,60,,0
61,61,,1
62,62,,4
63,63,,4
64,64,,0
65,65,,0
66,66,,0
67,67,,4
68,68,,1
69,69,,4
70,70,,0
71,71,,0
72,72,,0
73,73,,0
74,74,,0
75,75,,1
76,76,,0
77,77,,0
78,78,,0
79,79,,0
80,80,,1
81,81,,2
82,82,,1
83,83,,2
84,84,,0
85,85,,1
86,86,,1
87,87,,0
88,88,,0
89,89,,0
90,90,,0
91,91,,0
92,92,,0
93,93,,0
94,94,,0
95,95,,0
96,96,,2
97,97,,0
98,98,,1
99,99,,1
100,100,,0
101,101,,0
102,102,,0
103,103,,1
104,104,,0
105,105,,0
106,106,,0
107,107,,0
108,108,,0
109,109,,2
110,110,,0
111,111,,1
112,112,,0
113,113,,0
114,114,,1
115,115,,0
116,116,,0
117,117,,2
118,118,,0
119,119,,0
120,120,,0
121,121,,1
122,122,,0
123,123,,2
124,124,,1
125,125,,0
126,126,,0
127,127,,1
128,128,,2
129,129,,1
130,130,,0
131,131,,2
132,132,,1
133,133,,0
134,134,,1
135,135,,1
136,136,,1
137,137,,1
138,138,,2
139,139,,0
140,140,,1
141,141,,0
142,142,,1
143,143,,1
144,144,,0
145,145,,0
146,146,,1
147,147,,0
148,148,,0
149,149,,0
150,150,,0
151,151,,2
152,152,,0
153,153,,0
154,154,,1
155,155,,2
156,156,,2
157,157,,2
158,158,,0
159,159,,1
160,160,,0
161,161,,1
162,162,,0
163,163,,0
164,164,,0
165,165,,4
166,166,,0
167,167,,0
168,168,,1
169,169,,0
170,170,,0
171,171,,0
172,172,,0
173,173,,4
174,174,,0
175,175,,1
176,176,,0
177,177,,0
178,178,,1
179,179,,2
180,180,,0
181,181,,4
182,182,,0
183,183,,2
184,184,,0
185,185,,0
186,186,,1
187,187,,1
188,188,,2
189,189,,4
190,190,,2
191,191,,1
192,192,,0
193,193,,1
194,194,,2
195,195,,2
196,196,,1
197,197,,2
198,198,,0
199,199,,0
200,200,,0
201,201,,1
202,202,,1
203,203,,0
204,204,,2
205,205,,1
206,206,,1
207,207,,2
208,208,,0
209,209,,2
210,210,,1
211,211,,1
212,212,,1
213,213,,1
214,214,,1
215,215,,1
216,216,,1
217,217,,1
218,218,,1
219,219,,1
220,220,,1
221,221,,1
222,222,,1
223,223,,1
224,224,,2
225,225,,1
226,226,,1
227,227,,1
228,228,,4
229,229,,2
230,230,,1
231,231,,2
232,232,,1
233,233,,0
234,234,,1
235,235,,1
236,236,,0
237,237,,2
238,238,,2
239,239,,2
240,240,,2
241,241,,0
242,242,,2
243,243,,4
244,244,,1
245,245,,2
246,246,,1
247,247,,1
248,248,,1
249,249,,2
250,250,,2
251,251,,0
252,252,,2
253,253,,0
254,254,,1
255,255,,0
256,256,,1
257,257,,0
258,258,,0
259,259,,1
260,260,,1
261,261,,2
262,262,,2
263,263,,1
264,264,,2
265,265,,1
266,266,,2
267,267,,2
268,268,,2
269,269,,2
270,270,,1
271,271,,0
272,272,,0
273,273,,1
274,274,,1
275,275,,2
276,276,,2
277,277,,1
278,278,,2
279,279,,2
280,280,,2
281,281,,0
282,282,,2
283,283,,0
284,284,,0
285,285,,1
286,286,,0
287,287,,1
288,288,,2
289,289,,1
290,290,,0
291,291,,1
292,292,,2
293,293,,1
294,294,,2
295,295,,0
296,296,,2
297,297,,0
298,298,,0
299,299,,1
300,300,,1
301,301,,2
302,302,,2
303,303,,2
304,304,,0
305,305,,2
306,306,,1
307,307,,1
308,308,,1
309,309,,2
310,310,,0
311,311,,0
312,312,,2
313,313,,2
314,314,,0
315,315,,0
316,316,,0
317,317,,1
318,318,,1
319,319,,1
320,320,,2
321,321,,1
322,322,,2
323,323,,2
324,324,,1
325,325,,2
326,326,,1
